Name,Time,Cost
att48,1.1082209507624308,35225.96666666667
berlin52,1.1395715792973837,8231.929832266065
kroA100,1.3743942260742188,23969.127717173014
kroA150,1.5666869401931762,33575.8324989838
kroA200,1.7688905398050945,44600.978713406475
kroB100,1.3461153904596965,24610.74931406188
kroB150,1.5687110582987467,33165.53662944546
kroB200,1.7734634319941203,44304.10052023455
kroC100,1.3421427567799886,23537.278185983134
kroD100,1.3461782217025757,23714.06509447237
kroE100,1.3286245187123618,24458.04383255912
lin105,1.346097993850708,16119.23638713032
pr107,1.3580050627390543,47633.006739089586
pr124,1.4301715930302938,66610.54883267422
pr136,1.491404366493225,113333.11607086853
pr144,1.542107637723287,68514.88361453812
pr152,1.569725545247396,87305.67350190342
pr76,1.2309885263442992,123330.37226292472
rat195,1.7654760201772055,2781.01371877532
rat99,1.3214732646942138,1359.642253627728
st70,1.1980268716812135,736.1579978108128
